"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 02 09:20:59 GMT 2023","Fri Jun 02 09:21:00 GMT 2023","239","Surefire suite","Surefire test","tests.API.ExampleApiTest","tests.API.ExampleApiTest","modsenAuth","modsenAuth",""
"failed","Fri Jun 02 09:21:04 GMT 2023","Fri Jun 02 09:21:04 GMT 2023","707","Surefire suite","Surefire test","tests.Ui.ModsenTest","tests.Ui.ModsenTest","checkHomePageTitle","checkHomePageTitle",""
"passed","Fri Jun 02 09:21:05 GMT 2023","Fri Jun 02 09:21:07 GMT 2023","2078","Surefire suite","Surefire test","tests.Ui.ModsenTest","tests.Ui.ModsenTest","clickGetStartedButton","clickGetStartedButton",""
