"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 09:01:41 GMT 2023","Thu Jun 01 09:01:41 GMT 2023","278","Surefire suite","Surefire test","tests.Ui.ModsenTest","tests.Ui.ModsenTest","checkHomePageTitle","checkHomePageTitle",""
"passed","Thu Jun 01 09:01:43 GMT 2023","Thu Jun 01 09:01:44 GMT 2023","1112","Surefire suite","Surefire test","tests.Ui.ModsenTest","tests.Ui.ModsenTest","clickGetStartedButton","clickGetStartedButton",""
"passed","Thu Jun 01 09:01:44 GMT 2023","Thu Jun 01 09:01:45 GMT 2023","200","Surefire suite","Surefire test","tests.API.ExampleApiTest","tests.API.ExampleApiTest","modsenAuth","modsenAuth",""
