"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 10:37:39 GMT 2023","Thu Jun 01 10:37:39 GMT 2023","66","Surefire suite","Surefire test","tests.Ui.ModsenTest","tests.Ui.ModsenTest","checkHomePageTitle","checkHomePageTitle",""
"passed","Thu Jun 01 10:37:33 GMT 2023","Thu Jun 01 10:37:34 GMT 2023","309","Surefire suite","Surefire test","tests.API.ExampleApiTest","tests.API.ExampleApiTest","modsenAuth","modsenAuth",""
"passed","Thu Jun 01 10:37:41 GMT 2023","Thu Jun 01 10:37:43 GMT 2023","1910","Surefire suite","Surefire test","tests.Ui.ModsenTest","tests.Ui.ModsenTest","clickGetStartedButton","clickGetStartedButton",""
